City,Date,PM2.5,PM10,NO2,SO2,CO,O3,NO,NOx,NH3,AQI
Ahmedabad,2016-06-12,75.06,0.0,6.35,19.31,14.78,6.0,14.78,21.13,0.0,301.0
Ahmedabad,2016-07-01,75.06,0.0,6.35,19.31,14.78,6.0,14.78,21.13,0.0,301.0
Ahmedabad,2016-07-02,75.06,0.0,6.35,19.31,14.78,6.0,14.78,21.13,0.0,301.0
Ahmedabad,2016-07-03,75.06,0.0,6.35,19.31,14.78,6.0,14.78,21.13,0.0,301.0
Ahmedabad,2016-07-04,75.06,0.0,6.35,19.31,14.78,6.0,14.78,21.13,0.0,301.0
Ahmedabad,2016-07-05,75.06,0.0,6.35,19.31,14.78,6.0,14.78,21.13,0.0,301.0
Ahmedabad,2016-07-06,75.06,0.0,6.35,19.31,14.78,6.0,14.78,21.13,0.0,301.0
Ahmedabad,2016-07-07,35.87,0.0,1.67,1.53,7.5,17.0,7.5,9.13,0.0,301.0
Ahmedabad,2016-07-08,43.9,0.0,28.09,15.37,2.77,0.61,2.77,22.68,0.0,301.0
Ahmedabad,2016-07-09,52.15,0.0,7.15,16.32,10.7,14.67,10.7,17.85,0.0,251.0
Ahmedabad,2016-07-10,85.36,0.0,7.59,7.63,14.48,20.62,14.48,22.5,0.0,311.0
Ahmedabad,2016-07-11,85.36,0.0,7.59,7.63,14.48,20.62,14.48,22.5,0.0,311.0
Ahmedabad,2016-07-12,85.36,0.0,7.59,7.63,14.48,20.62,14.48,22.5,0.0,311.0
Ahmedabad,2016-08-01,85.36,0.0,7.59,7.63,14.48,20.62,14.48,22.5,0.0,311.0
Ahmedabad,2016-08-02,85.36,0.0,7.59,7.63,14.48,20.62,14.48,22.5,0.0,311.0
Ahmedabad,2016-08-03,85.36,0.0,7.59,7.63,14.48,20.62,14.48,22.5,0.0,311.0
Ahmedabad,2016-08-04,85.36,0.0,7.59,7.63,14.48,20.62,14.48,22.5,0.0,311.0
Ahmedabad,2016-08-05,85.36,0.0,7.59,7.63,14.48,20.62,14.48,22.5,0.0,311.0
Ahmedabad,2016-08-06,85.36,0.0,7.59,7.63,14.48,20.62,14.48,22.5,0.0,311.0
Ahmedabad,2016-08-07,46.3,0.0,1.8,1.8,7.3,24.0,7.3,9.1,0.0,311.0
Ahmedabad,2016-08-08,93.34,0.0,27.88,13.18,9.72,1.4,9.72,34.75,0.0,327.0
Ahmedabad,2016-08-09,35.99,0.0,8.65,19.29,9.91,18.16,9.91,18.56,0.0,220.0
Ahmedabad,2016-08-10,124.97,0.0,9.72,6.74,13.2,26.4,13.2,22.91,0.0,313.0
Ahmedabad,2016-08-11,124.97,0.0,9.72,6.74,13.2,26.4,13.2,22.91,0.0,313.0
Ahmedabad,2016-08-12,124.97,0.0,9.72,6.74,13.2,26.4,13.2,22.91,0.0,313.0
Ahmedabad,2016-09-01,124.97,0.0,9.72,6.74,13.2,26.4,13.2,22.91,0.0,313.0
Ahmedabad,2016-09-02,124.97,0.0,9.72,6.74,13.2,26.4,13.2,22.91,0.0,313.0
Ahmedabad,2016-09-03,124.97,0.0,9.72,6.74,13.2,26.4,13.2,22.91,0.0,313.0
Ahmedabad,2016-09-04,124.97,0.0,9.72,6.74,13.2,26.4,13.2,22.91,0.0,313.0
